,SK_ID_CURR
0,100002
1,100003
2,100004
3,100006
4,100007
5,100008
6,100009
7,100010
8,100011
9,100012
10,100014
11,100015
12,100016
13,100017
14,100018
15,100019
16,100020
17,100021
18,100022
19,100023
20,100024
21,100025
22,100026
23,100027
24,100029
25,100030
26,100031
27,100032
28,100033
29,100034
30,100035
31,100036
32,100037
33,100039
34,100040
35,100041
36,100043
37,100044
38,100045
39,100046
40,100047
41,100048
42,100049
43,100050
44,100051
45,100052
46,100053
47,100054
48,100055
49,100056
50,100058
51,100059
52,100060
53,100061
54,100062
55,100063
56,100064
57,100068
58,100069
59,100070
60,100071
61,100072
62,100073
63,100075
64,100076
65,100077
66,100078
67,100079
68,100081
69,100082
70,100083
71,100084
72,100085
73,100086
74,100087
75,100088
76,100089
77,100093
78,100094
79,100095
80,100096
81,100097
82,100098
83,100099
84,100100
85,100101
86,100102
87,100103
88,100104
89,100105
90,100108
91,100110
92,100111
93,100112
94,100113
95,100114
96,100115
97,100116
98,100118
99,100119
100,100120
101,100121
102,100122
103,100123
104,100124
105,100125
106,100126
107,100127
108,100129
109,100130
110,100131
111,100132
112,100133
113,100134
114,100135
115,100136
116,100137
117,100138
118,100139
119,100140
120,100142
121,100143
122,100144
123,100145
124,100146
125,100147
126,100148
127,100149
128,100151
129,100152
130,100153
131,100154
132,100155
133,100156
134,100157
135,100158
136,100159
137,100160
138,100161
139,100162
140,100163
141,100164
142,100165
143,100166
144,100167
145,100173
146,100174
147,100175
148,100176
149,100177
150,100178
151,100179
152,100180
153,100181
154,100182
155,100183
156,100185
157,100186
158,100188
159,100189
160,100190
161,100191
162,100192
163,100193
164,100194
165,100195
166,100196
167,100197
168,100198
169,100199
170,100200
171,100201
172,100202
173,100203
174,100204
175,100205
176,100206
177,100207
178,100208
179,100209
180,100210
181,100211
182,100213
183,100214
184,100215
185,100216
186,100217
187,100218
188,100219
189,100220
190,100221
191,100224
192,100225
193,100226
194,100227
195,100228
196,100229
197,100230
198,100231
199,100233
200,100234
201,100235
202,100236
203,100237
204,100238
205,100239
206,100240
207,100242
208,100243
209,100244
210,100246
211,100247
212,100248
213,100249
214,100250
215,100251
216,100252
217,100254
218,100255
219,100257
220,100258
221,100259
222,100260
223,100261
224,100262
225,100263
226,100264
227,100265
228,100266
229,100267
230,100268
231,100269
232,100270
233,100272
234,100273
235,100274
236,100275
237,100276
238,100277
239,100279
240,100281
241,100282
242,100283
243,100284
244,100285
245,100286
246,100287
247,100288
248,100289
249,100290
250,100291
251,100292
252,100293
253,100294
254,100295
255,100296
256,100297
257,100298
258,100299
259,100300
260,100301
261,100302
262,100303
263,100304
264,100305
265,100307
266,100308
267,100309
268,100310
269,100313
270,100314
271,100315
272,100316
273,100317
274,100318
275,100319
276,100320
277,100321
278,100322
279,100323
280,100324
281,100325
282,100326
283,100327
284,100328
285,100329
286,100332
287,100333
288,100334
289,100335
290,100336
291,100337
292,100338
293,100339
294,100340
295,100341
296,100342
297,100343
298,100344
299,100345
300,100346
301,100347
302,100348
303,100349
304,100350
305,100351
306,100353
307,100354
308,100355
309,100356
310,100357
311,100359
312,100360
313,100361
314,100362
315,100363
316,100364
317,100365
318,100366
319,100368
320,100369
321,100370
322,100371
323,100372
324,100373
325,100374
326,100375
327,100376
328,100377
329,100378
330,100379
331,100380
332,100381
333,100383
334,100387
335,100388
336,100389
337,100390
338,100391
339,100392
340,100393
341,100394
342,100395
343,100396
344,100397
345,100398
346,100400
347,100401
348,100403
349,100405
350,100406
351,100407
352,100408
353,100409
354,100410
355,100411
356,100412
357,100413
358,100414
359,100415
360,100417
361,100418
362,100419
363,100420
364,100421
365,100423
366,100424
367,100425
368,100427
369,100428
370,100429
371,100430
372,100431
373,100432
374,100433
375,100434
376,100435
377,100436
378,100437
379,100439
380,100440
381,100441
382,100442
383,100443
384,100448
385,100449
386,100451
387,100452
388,100453
389,100454
390,100455
391,100456
392,100458
393,100459
394,100461
395,100462
396,100463
397,100464
398,100465
399,100467
400,100468
401,100469
402,100470
403,100471
404,100472
405,100473
406,100474
407,100475
408,100476
409,100477
410,100478
411,100479
412,100480
413,100481
414,100482
415,100485
416,100486
417,100487
418,100488
419,100489
420,100490
421,100491
422,100492
423,100493
424,100495
425,100496
426,100497
427,100498
428,100499
429,100500
430,100501
431,100502
432,100503
433,100504
434,100505
435,100506
436,100507
437,100508
438,100509
439,100511
440,100513
441,100514
442,100515
443,100516
444,100518
445,100519
446,100520
447,100521
448,100522
449,100523
450,100524
451,100525
452,100526
453,100528
454,100529
455,100530
456,100531
457,100532
458,100533
459,100534
460,100535
461,100536
462,100537
463,100538
464,100539
465,100540
466,100541
467,100542
468,100543
469,100544
470,100545
471,100546
472,100547
473,100549
474,100550
475,100554
476,100555
477,100556
478,100557
479,100558
480,100559
481,100560
482,100562
483,100563
484,100564
485,100565
486,100566
487,100567
488,100570
489,100571
490,100572
491,100573
492,100574
493,100575
494,100576
495,100577
496,100578
497,100579
498,100580
499,100581
500,100582
501,100583
502,100584
503,100585
504,100586
505,100587
506,100588
507,100589
